instance,family,n,m,p,seed,labelling,algorithm,bitset,mis_count,median_seconds,min_seconds,max_seconds,repeats,recursion_nodes,unproductive_calls,pivot_candidates,pivot_intersections,peak_kib
ws_n24_s3,ws,24,72,nan,3,random,bk_pivot_p,0,368,0.0011796669568866491,0.0011565000750124454,0.001275584101676941,5,1479,550,2152,0,33.1
ws_n24_s3,ws,24,72,nan,3,random,bk_ikgp,0,368,0.0008099579717963934,0.0007949580904096365,0.0008646249771118164,5,617,26,1056,1056,34.7
ws_n24_s3,ws,24,72,nan,3,random,bk_basic_bit,1,368,0.001716500148177147,0.0017081249970942736,0.0017352919094264507,5,3126,,,,7.1
ws_n24_s3,ws,24,72,nan,3,random,bk_pivot_bit,1,368,0.0007463328074663877,0.000744708115234971,0.0007550830487161875,5,735,,,,6.7
ws_n24_s3,ws,24,72,nan,3,random,bk_tomita_bit,1,368,0.0008607502095401287,0.0008562910370528698,0.0008667081128805876,5,582,,,,7.3
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_basic,0,224,0.0033539580181241035,0.0032389590051025152,0.0035405410453677177,5,4653,3887,0,0,42.4
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_pivot,0,224,0.0008522078860551119,0.0008280409965664148,0.0009581248741596937,5,899,199,2368,0,43.3
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_tomita,0,224,0.000889957882463932,0.0008583329617977142,0.0009993328712880611,5,516,10,1188,1188,43.8
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_pivot_p,0,224,0.0010217500384896994,0.0009897919371724129,0.0011041250545531511,5,1157,459,2133,0,43.3
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_ikgp,0,224,0.001064165960997343,0.001025791047140956,0.0011420841328799725,5,676,155,1343,1343,43.8
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_basic_bit,1,224,0.002328709000721574,0.002321917098015547,0.0023474160116165876,5,4653,,,,7.5
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_pivot_bit,1,224,0.0008318750187754631,0.0008287499658763409,0.000840167049318552,5,996,,,,7.1
er_n26_p0.3_s1,er,26,104,0.3,1,random,bk_tomita_bit,1,224,0.0007920828647911549,0.0007903329096734524,0.0007960000075399876,5,528,,,,7.8
er_n26_p0.5_s1,er,26,166,0.5,1,random,bk_basic,0,109,0.0005063749849796295,0.0004783330950886011,0.0006024579051882029,5,746,462,0,0,32.5
